,dia,displacement,weight,color,origin,car
1,23.5,188,2160,silver,Ventim,audi a5 coupe,,,
2,26.5,220,2433,red,Ventim,mitsubishi colt plus,,,
3,24.0,238,2781,yellow,Ventim,nissan grand livina,,,
4,26.5,109,2215,golden,Ventim,audi r8,,,
5,27.5,152,2889,white,Ventim,mitsubishi zinger,,,
6,24.5,100,2357,yellow,Ventim,toyota wish,,,
7,26.5,225,2100,yellow,Ventim,nissan livina,,,
8,21.0,100,2739,black,Ventim,audi q3,,,
9,31.5,161,2930,golden,Ventim,toyota rav4,,,
10,31.5,88,2151,white,Ventim,ford focus active,,,
11,26.5,140,2750,yellow,Ventim,honda odyssey,,,
12,21.5,250,2610,white,Ventim,mazda cx-3,,,
13,26.0,152,2706,white,Ventim,toyota c-hr,,,
14,20.0,129,2189,black,Ventim,ford focus active,,,
15,28.5,167,2799,golden,Ventim,bmw 4-series gran coupe,,,
16,21.0,188,2802,yellow,Ventim,bmw 2-series,,,
17,27.5,242,2701,yellow,Ventim,nissan grand livina,,,
18,26.0,204,2220,yellow,Ventim,toyota camry,,,
19,22.0,129,2065,silver,Ventim,audi q3,,,
20,26.5,250,2529,yellow,Ventim,toyota alphard,,,
21,30.0,250,2930,blue,Ventim,ford focus active,,,
22,21.0,184,2891,white,Ventim,suzuki vitara,,,
23,28.5,93,2694,blue,Guting,toyota rav4,,,
24,21.5,129,2539,white,Guting,honda odyssey,,,
25,31.0,118,2917,silver,Guting,toyota sienta,,,
26,29.5,152,2291,silver,Guting,honda civic,,,
27,27.5,242,2768,silver,Guting,toyota rav4,,,
28,29.0,100,2546,silver,Guting,suzuki baleno,,,
29,26.0,204,2615,black,Guting,mazda cx-3,,,
30,21.5,195,2109,yellow,Guting,benz glc,,,
31,28.5,84,2002,black,Guting,toyota alphard,,,
32,27.0,85,2906,yellow,Guting,mazda 6,,,
33,20.5,202,2652,white,Guting,ford kuga,,,
34,27.5,109,2754,black,Guting,toyota camry,,,
35,28.5,140,2263,white,Guting,nissan livina,,,
36,30.0,225,2757,white,Guting,toyota vios,,,
37,21.0,140,2121,golden,Guting,toyota alphard,,,
38,26.5,167,2954,blue,Guting,benz cls,,,
39,22.0,195,2221,red,Guting,audi r8,,,
40,23.5,161,2823,red,Guting,nissan livina,,,
41,30.0,152,2354,red,Guting,audi r8,,,
42,29.0,146,2734,red,Guting,ford focus,,,
43,23.0,95,2451,silver,Guting,mitsubishi zinger,,,
44,24.0,95,2454,silver,Guting,honda hr-v,,,
45,20.5,220,2727,black,Guting,audi q3,,,
46,31.0,152,2305,golden,Guting,toyota sienta,,,
47,23.0,152,2476,white,Guting,suzuki baleno,,,
48,28.5,232,2375,black,Guting,benz glc,,,
49,21.5,146,2232,golden,Guting,audi r8,,,
50,20.0,184,2499,black,Guting,toyota rav4,,,
51,27.0,95,2641,golden,Guting,nissan grand livina,,,
52,22.0,184,2007,red,Guting,toyota wish,,,
53,23.0,204,2247,black,Guting,ford focus,,,
54,20.0,247,2957,white,Guting,ford mustang,,,
55,27.0,93,2253,silver,Xinzhuang,audi a5 coupe,,,
56,27.5,167,2200,silver,Xinzhuang,honda civic,,,
57,20.5,247,2209,golden,Xinzhuang,honda nsx,,,
58,24.0,193,2852,white,Xinzhuang,suzuki baleno,,,
59,21.0,225,2667,silver,Xinzhuang,audi a5 coupe,,,
60,21.0,85,2231,black,Xinzhuang,honda hr-v,,,
61,20.0,225,2626,red,Xinzhuang,mitsubishi colt plus,,,
62,24.0,232,2089,silver,Xinzhuang,mitsubishi zinger,,,
63,31.0,84,2521,yellow,Xinzhuang,honda hr-v,,,
64,24.0,167,2460,white,Xinzhuang,toyota vios,,,
65,26.0,140,2279,white,Xinzhuang,toyota c-hr,,,
66,29.0,195,2092,yellow,Xinzhuang,toyota rav4,,,
